Designator,Mid X,Mid Y,Rotation,Layer
A1,85.16,-74.65,0.0,top
C1,77.0,-104.5,270.0,top
D10,62.5,-49.5,0.0,top
D5,62.5,-104.5,0.0,top
D6,107.5,-104.46,0.0,top
D9,107.5,-49.5,0.0,top
R1,91.25,-106.5,90.0,top
R2,88.0,-100.0,90.0,top
U1,85.0,-104.5,0.0,top
